To FEDEFL,,,,,
7ae371aa-8532-11e0-9d78-0800200c9a66;b6f010fb-a764-3063-af2d-bcb8309a97b7;1.0;Carbon dioxide;Elementary flows/air/unspecified;;Carbon dioxide;Elementary flows/emission/air;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,,,
20185046-64bb-4c09-a8e7-e8a9e144ca98;cfee0524-7ad6-300b-b050-6249135a2492;1.0;Dinitrogen monoxide;Elementary flows/air/unspecified;;Nitrous oxide;Elementary flows/emission/air;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,,,
acc39720-dda7-4b3a-80c7-c6394cad4191;b24a2de2-da9b-30b8-ae33-3d4ffa692029;1.0;Ethane, hexafluoro-, HFC-116;Elementary flows/air/unspecified;;Hexafluoroethane;Elementary flows/emission/air;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,
20408dd1-8534-11e0-9d78-0800200c9a66;aab83476-ec6c-3742-af85-15d320b7ce80;1.0;Methane;Elementary flows/air/unspecified;;Methane;Elementary flows/emission/air;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,,,
33681770-a0e1-4ce8-93c3-941fd607fa5f;fbfa508b-f3c9-3977-a47d-1138e96914a3;1.0;Methane, tetrafluoro-, R-14;Elementary flows/air/unspecified;;Carbon tetrafluoride;Elementary flows/emission/air;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,
9ed04856-b565-46c4-8163-eb0616409abc;ef914209-31e3-36f8-8120-9183de84b69a;1.0;Carbon;Elementary flows/resource/biotic;;Carbon;Elementary flows/resource/biotic;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,,,
80bb6903-93b7-4c04-ac53-37775125af8d;8da5dfbc-e842-3f6b-98d1-6018a69e3911;1.0;Carbon;Elementary flows/resource/in ground;;Carbon;Elementary flows/resource/ground;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;20aadc24-a391-41cf-b340-3e4529f44bde;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;ok: Edited or checked manually;ok: Edited or checked manually,,,,,
To USLCI,,,,,
e24f0781-7863-4711-bdd2-110bc33ab31c;d815ff18-015c-3afb-be18-be03bdf325da;2.707E-5;Landfill operation, diesel;Technosphere flows/Transport;;Diesel, combusted in industrial equipment;Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems;;f6811440-ee37-11de-8a39-0800200c9a66;Energy;93a60a56-a3c8-22da-a746-0800200c9a66;Volume;52765a6c-3896-43c2-b2f4-c679acf13efe;MJ;1c3a9695-398d-4b1f-b07e-a8715b610f70;m3;d6ad7035-5498-3237-8abd-50e93b1eef89;Diesel, combusted in industrial equipment;22: Utilities/2213: Water, Sewage and Other Systems;RNA;ok: Edited or checked manually;ok: Edited or checked manually
f23ba044-51a7-4326-a42b-aec68c688788;59449b10-044a-3a9b-a6e6-5c5fc97b50bb;1.0;Transport of ash to landfill;Technosphere flows/Transport;;Transport, combination truck, short-haul, diesel powered;Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;838aaa20-0117-11db-92e3-0800200c9a66;;20aadc24-a391-41cf-b340-3e4529f44bde;kg;0dea4ed8-bb6b-4049-b2b4-b2c413ef2180;t*km;;;;;ok: Applied and removed;ok: Flow in sync. with database,,
efefd210-d30b-11e4-8830-0800200c9a66;59449b10-044a-3a9b-a6e6-5c5fc97b50bb;1.0;Transport of MSW, by truck;Technosphere flows/Transport;;Transport, combination truck, short-haul, diesel powered;Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking;;838aaa20-0117-11db-92e3-0800200c9a66;Goods transport (mass*distance);838aaa20-0117-11db-92e3-0800200c9a66;;0dea4ed8-bb6b-4049-b2b4-b2c413ef2180;t*km;0dea4ed8-bb6b-4049-b2b4-b2c413ef2180;t*km;;;;;ok: Applied and removed;ok: Flow in sync. with database,
2de075bf-79e2-4d96-8942-44e852ac68e9;628c07ec-0802-39c1-ab88-1c62848ef436;1.0;Transport of manufactured products, to retailer;Technosphere flows/Transport;;Transport, combination truck, diesel powered;Technosphere flows/48-49: Transportation and Warehousing/4841: General Freight Trucking;;838aaa20-0117-11db-92e3-0800200c9a66;Goods transport (mass*distance);838aaa20-0117-11db-92e3-0800200c9a66;;0dea4ed8-bb6b-4049-b2b4-b2c413ef2180;t*km;0dea4ed8-bb6b-4049-b2b4-b2c413ef2180;t*km;;;;;ok: Applied and removed;ok: Flow in sync. with database,,
