uuid,old_name,new_name,type
e3ba395e-fd2f-3668-aee1-311195c02835,"Ethanol, 85%, blended, at service station","Ethanol; 85%, blended; at service station",flow
28579c88-adc1-468a-aa24-b333dccb85c1,"Hydrogen combustion, energy",Hydrogen combustion; energy,flow
12e1296e-4e80-35e8-910a-de17402a0b9c,"Copper, at plant",Copper; at plant,flow
db6a6bc6-fc77-3d70-ad69-54c6a2ac64fd,"Aluminum, secondary, extruded",Aluminum secondary; extruded,flow
dae8a18a-3a1d-46a4-90bd-d5e7fcc83ca0,"Waste, solvents, combusted in industrial boiler","Waste, solvents; combusted in industrial boiler",flow
5d0039c4-d627-391e-bd1d-b8efea18d6d6,"Filter media, at plant",Filter media; at plant,flow
b544e484-ebb7-32bf-a241-385457452aa8,"Tetrafluoroethylene, at plant",Tetrafluoroethylene; at plant,flow
9d4fa335-7916-3bf5-be4d-814cbb176908,"Glycerin, at plant",[deleted],flow
71013162-ee53-3d6a-9089-40391353e875,"Recycled municipal solid wastes, unspecified",Recycled municipal solid wastes; unspecified,flow
2408c743-f372-340d-b698-3f2e90db7435,"Printed wiring board, through-hole mounted, unspecified, Pb free",Printed wiring board; through-hole mounted; Pb free,flow
d74be1fd-6f04-3682-b097-4158ebf5aa2f,"Metal composite material (MCM) panel, at plant","Metal composite material, MCM, panel; at plant",flow
59feb9a9-a358-3419-a032-57f06342692d,"Butyl acetate, liquid",Butyl acetate; liquid,flow
32a2de19-4a9c-38f2-8f75-34f7a9108d05,"Polyethylene terephthalate, granulate, amorphous, at plant","Polyethylene terephthalate; granulate, amorphous; at plant",flow
432a8698-c146-4d6d-bca5-cb4b14a4159e,"Tetrachloroethylene, at plant - RER U",Tetrachloroethylene; at plant,flow
eeb535fb-9ac1-3db7-bad5-50a7c0aa884a,"Scanner, department, i5800",Scanner; department; i5800,flow
38cf6f7f-d690-4340-9287-a97c0f41c3b5,"Asphalt Concrete, landfilled",Asphalt concrete; landfilled,flow
400b2d60-d2b9-3e36-a89f-53a7f1349f86,"Chemicals organic, at plant",Chemicals organic; at plant,flow
df38aadc-e068-3c51-906f-83eb96b81bb8,"Boric acid, at plant",Boric acid; at plant,flow
30ef4b2a-22bf-341d-b494-bbd13eab3c71,"Isobutyl acetate, liquid",Isobutyl acetate; liquid,flow
735f1d86-f99a-3ffa-adae-176c545744ab,"Transport, ocean freighter, residual fuel oil powered",Transport; ocean freighter; residual fuel oil powered,flow
54f0ebc7-6b9a-3627-ad73-a798371d7ebd,"Concrete Pipe, 36""","Concrete pipe; 36""",flow
3a69b037-90a4-3e38-833a-2df45fe9e931,"Iron (III) chloride, 40% in H2O, at plant",Iron (III) chloride; 40% in H2O; at plant,flow
c3aac8fe-04dd-4ca7-b335-0406feab793a,"Disposal, sand, to sanitary landfill","Disposal, sand; to sanitary landfill",flow
0e111ee2-6bf1-38dc-811a-17d8f5f5eeab,"Scanner, department, i4200, i4600","Scanner, department; i4200, i4600",flow
ac1212ed-6bb6-47f7-a5a0-2b4faea4a276,"Disposal, wood ash, to uns. beneficial use","Disposal, coal ash; to uns. beneficial use",flow
9ab9dc1f-c24b-34c1-8532-498c278451ee,"Slag, at blast furnace",Slag; at blast furnace,flow
d0ebefdd-4f41-3020-8f0f-c91ecba7e10d,"Latex, at plant",Latex; at plant,flow
1513327d-cc80-37e8-86b7-7e4302984e4a,Wood fuel; softwood; kiln dried,"Wood fuel; softwood, kiln dried",flow
524fd4ed-beef-3c60-a17b-fa0ba1842eeb,"Transport, single unit truck, short-haul, gasoline powered","Transport; single unit truck, short-haul; gasoline powered",flow
9d61a4d6-616a-35ab-98a2-26c02cd5a3ec,"Pulp, deinked market, bleached, at mill","Pulp; deinked market, bleached; at mill",flow
b3459cd3-884c-32ba-93c9-c3a2efdc4b49,"Atrazine, at regional storehouse",Atrazine; at regional storehouse,flow
00a48238-2097-3fa1-a352-47c9563953c5,"Urea, at regional storehouse",Urea; at regional storehouse,flow
f90f9f47-01f5-3e91-a9f3-537c6f34af0c,"Propylene Glycol, liquid, at plant",Propylene glycol; liquid; at plant,flow
406c4d5a-ada0-349f-be88-0b9708780f42,"E-glass, at plant",E-glass; at plant,flow
bcf2a6f6-ea15-4e61-b213-a6cc23a845f7,"Sodium hydrogen sulfite, 12.5% in solution",Sodium hydrogen sulfite; 12.5% in solution,flow
8cd24684-a777-3c3d-8134-713acad3dc1b,"Softwood with bark, avg. intst. harvest, at mill, US SE, in pulp","Softwood with bark; average harvest, in pulp; at mill; US SE",flow
c5902052-45c9-3f0d-b355-26b464f4e196,"Sodium sulfate, at plant",Sodium sulfate; at plant,flow
13ed0c67-549c-3a01-afee-7083b12dd949,"Transport, combination truck, long-haul, diesel powered","Transport; combination truck, long-haul; diesel powered",flow
0c6a316e-1157-3440-a145-9fb9bef39261,"Optical brightner, at plant",Optical brightner; at plant,flow
b842a1f7-5cbb-4124-9275-4adda2695a64,"Disposal, wood ash mixture, pure, 0% water, to uns. land application","Disposal, wood ash mixture; pure; 0% water; to sanitary landfill",flow
328b0d8e-85df-477f-8684-fd42da4ff048,"Disposal, sludge, containing nitrate compounds, to sanitary landfill","Disposal, sludge containing nitrate compounds; to sanitary landfill",flow
ee474e27-a859-3c52-8003-75251e7bcc7a,"Solvent, at plant",Solvent; at plant,flow
ae9b6fe4-7936-3620-b88e-1d03301c0163,"Disposal, waste, deposited","Disposal, waste; deposited",flow
f6f5f699-2201-3a9e-992c-40e22a6e6e01,"Sodium Methylate, at plant",Sodium methylate; at plant,flow
d52d2a98-35ce-30a6-9013-fd2587a1967d,"Single-ply, white, polyester reinforced PVC roofing membrane, 60 mils - 1.524 mm","Single-ply white polyester reinforced PVC roofing membrane; 60 mils, 1.524 mm",flow
3e9ebccd-8eef-3935-8d40-42b77fa4a257,"Ammonium sulfate, 20% solids, at plant",Ammonium sulfate; 20% solids; at plant,flow
0e5e3079-33df-31fd-ad79-8b8feff08fb6,"Transport, combination truck, long-haul, electricity powered","Transport; combination truck, long-haul; electricity powered",flow
164869a7-0657-4889-af36-6643720e09e4,"Disposal, solid waste, fuel, to municipal incineration","Disposal, solid waste fuel; to municipal incineration",flow
2bb0cd6b-941b-38da-856c-1b7bd0cc5f49,"Polyvinyl chloride resin, suspension grade PVC; at plant",Polyvinyl chloride resin; suspension grade PVC; at plant,flow
be5da5d8-8c4a-4228-b93e-12b03d0d9725,"Bisphenol A, at plant",Bisphenol A; at plant,flow
e47ab562-c93a-49d7-8fdb-58df4dd7fbcc,"Disposal, other solid waste from plant, to uns. land application","Disposal, wood ash; to uns. beneficial use",flow
00b08f68-2fb1-3f4f-bef3-e6f3f4d70de3,"Phenol resorcinol formaldehyde resin, at plant",Phenol resorcinol formaldehyde resin; at plant,flow
023f9fc5-7c33-313e-bba0-43305bc535e2,"Phthalic anhydride, at plant",Phthalic anhydride; at plant,flow
80e4ff02-d959-3ec5-a5df-3ed385d7df0c,"Sulfur, thermochemical process",Sulfur; thermochemical process,flow
88f1219a-d464-3e29-b43d-7a4d6ca4db8d,"Steel, cold-formed studs and track, at plant",Steel; cold-formed studs and track; at plant,flow
057a281a-908b-3adf-8f51-ed79fe5c5a9b,"Transport, pipeline, natural gas",Transport; pipeline; natural gas,flow
f8a03d5d-5254-3cb7-a305-58af0685b432,"Single-ply, white, polyester reinforced PVC roofing membrane, 40 mils - 1.016 mm","Single-ply white polyester reinforced PVC roofing membrane; 40 mils, 1.016 mm",flow
ff27c858-39e1-46e0-81c2-f321153e2891,"Disposal, coal ash, to uns. landfill","Disposal, chemical waste; unspecified; to unspecified treatment",flow
8a848faa-996b-39f4-a2ec-e9a1df693278,"Transport, combination truck, compressed natural gas powered",Transport; combination truck; compressed natural gas powered,flow
8dd01d0e-7cc4-4fe1-a1af-fe78652dd4cf,"Recycled postconsumer polypropylene, PP, pellet","Recycled postconsumer polypropylene, PP; pellet",flow
0461a6e2-75a9-36af-8e1a-c9ad9dcdb99d,"Carbon monoxide, at plant",Carbon monoxide; at plant,flow
5d654bf4-6e33-3b78-90e3-419cdb8e3817,"Alachlor, at regional storehouse",Alachlor; at regional storehouse,flow
d0207892-1d62-3649-b2a7-4f5bd03b8a73,"Transport, single unit truck, long-haul, compressed natural gas powered","Transport; single unit truck, long-haul; compressed natural gas powered",flow
c02eabee-96d8-3f58-91d7-1652ef6e3648,"Core board, at plant",Core board; at plant,flow
234d7326-0c43-3c3d-9f04-c7da73f3f2a0,"Sodium hydrosulfite, at plant",Sodium hydrosulfite; at plant,flow
89095462-b368-33cc-9d23-fe9d0d69201c,"Grinding aids, at plant",Grinding aids; at plant,flow
8bad5285-6bca-380a-89e1-adf554d134f0,"Secondary bonding application, rigid composites part, at plant",Secondary bonding application; rigid composites part; at plant,flow
c2cc68fe-1754-3468-a973-51c2f5c82fcd,"Transport, barge, residual fuel oil powered",Transport; barge; residual fuel oil powered,flow
5a5e261a-2f46-3391-8bf9-84e626efeb59,"Conveyor belt, at plant",Conveyor belt; at plant,flow
27a6e1c4-521c-3cdb-9a43-3b8827599651,"Mixed recyclables, at collection, curbside, volume basis",Mixed recyclables; at curbside collection,flow
bbfd6ffd-e953-4202-8e09-cf149e3b485b,"Disposal, slag, steelmaking, to unspecified treatment","Disposal, slag steelmaking; to unspecified treatment",flow
d53a4cf5-d6ae-3f33-b897-975d6ba2eb11,"Automotive painting, electrocoating, per m2",Automotive painting; electrocoating,flow
e3dfc9b8-a8d8-3b5e-b222-e1f55c29f99f,"Disposal, tailings, deposited","Disposal, tailings; deposited",flow
87f08e97-c8ca-3ff5-9cfe-0b2e7271180a,"Steel, secondary, at plant",Steel; secondary; at plant,flow
